make,mileage,model_year,transmission_from_vin,stock_type,msrp
GMC,3.0,2024,A,NEW,51799
Chevrolet,8449.0,2023,A,USED,77903
Cadillac,150677.0,2010,A,USED,62770
BMW,90.0,2024,A,NEW,105000
Hyundai,61061.0,2022,A,USED,22699
Ford,156448.0,2019,A,USED,37999
Chevrolet,3.0,2024,A,NEW,56999
Buick,10.0,2024,A,NEW,53798
GMC,59.0,2024,A,NEW,87299
Ram,7.0,2024,A,NEW,66070
Hyundai,8.0,2024,A,NEW,32599
Mini,90.0,2024,A,NEW,33690
Jeep,139291.0,2019,A,USED,33645
Jeep,77.0,2024,A,NEW,37270
Mitsubishi,10.0,2024,A,NEW,26798
Ford,75712.0,2022,A,USED,53605
Volkswagen,10000.0,2023,A,USED,33995
Nissan,24.0,2024,A,NEW,49298
Audi,52059.0,2018,A,USED,97750
Kia,53889.0,2023,A,USED,30795
GMC,17929.0,2022,A,USED,41598
GMC,48168.77220551646,2024,A,NEW,34945
Acura,15.0,2024,A,NEW,56430
Infiniti,53637.0,2021,A,USED,45495
Land Rover,44454.0,2019,A,USED,73000
Mazda,10.0,2024,A,NEW,46750
Ford,12926.0,2023,A,USED,60880
Ford,2.0,2024,A,NEW,67225
GMC,151172.0,2018,A,USED,41465
Hyundai,54995.0,2022,A,USED,21599
GMC,21509.0,2023,A,USED,33703
Nissan,137564.0,2018,A,USED,70898
Kia,48168.77220551646,2024,A,NEW,35795
Jeep,22.0,2023,A,NEW,49990
Nissan,48168.77220551646,2024,A,NEW,22098
Mercedes-Benz,40809.0,2020,A,USED,48800
Honda,78222.0,2018,A,USED,27590
Hyundai,140850.0,2017,A,USED,32999
Chevrolet,33983.0,2021,A,USED,39598
Toyota,84805.0,2021,A,USED,30350
Toyota,109159.0,2020,A,USED,40490
Tesla,5229.0,2023,A,USED,69990
Chevrolet,14424.0,2023,A,USED,31703
Mercedes-Benz,38019.0,2021,A,USED,65500
Toyota,48168.77220551646,2024,A,NEW,50490
Mazda,99234.0,2010,M,USED,24195
Jeep,90729.0,2020,A,USED,54195
Hyundai,48168.77220551646,2024,A,NEW,54699
Ford,18.0,2024,A,NEW,80495
Ford,80181.0,2021,A,USED,40249
Mini,33497.0,2020,A,USED,43090
Hyundai,123968.0,2015,A,USED,32999
Ford,1.0,2024,A,NEW,86995
Hyundai,20.0,2024,A,NEW,56999
GMC,115461.0,2017,A,USED,34000
Mazda,10.0,2024,A,NEW,39300
Ford,4.0,2024,A,NEW,39649
Mercedes-Benz,76971.0,2019,A,USED,71700
Toyota,59106.0,2020,A,USED,33790
GMC,6.0,2024,A,NEW,63199
Mercedes-Benz,41421.0,2021,A,USED,46500
Ford,178053.0,2015,A,USED,40399
Honda,55250.0,2020,A,USED,32290
Mitsubishi,9760.0,2023,A,USED,29098
Mercedes-Benz,90.0,2024,A,NEW,90100
Ford,73258.0,2021,A,USED,81305
Nissan,120000.0,2018,A,USED,28348
Lexus,90.0,2024,A,NEW,75350
GMC,139608.0,2018,A,USED,56420
Ram,18.0,2024,A,NEW,86815
Hyundai,10.0,2024,A,NEW,40599
Ram,45.0,2024,A,NEW,70720
Mini,43937.0,2020,A,USED,31690
Ford,18190.0,2023,A,USED,62355
Nissan,20.0,2023,A,NEW,29998
Hyundai,15.0,2024,A,NEW,21999
Ford,48168.77220551646,2024,A,NEW,71000
BMW,15750.0,2020,A,USED,73000
Ford,80096.0,2019,A,USED,25349
Mercedes-Benz,47351.0,2022,A,USED,81600
Jeep,48168.77220551646,2024,A,NEW,40170
Ford,27.0,2024,A,NEW,35700
Land Rover,140672.0,2017,A,USED,46990
Fiat,14.0,2024,A,NEW,39995
Volkswagen,3760.0,2024,A,NEW,57495
Ram,16.0,2023,A,NEW,55020
Ram,55.0,2023,A,NEW,53445
Jeep,74755.0,2023,A,USED,57045
Chevrolet,8.0,2024,A,NEW,32999
Ford,2.0,2024,A,NEW,64590
Kia,80112.0,2022,A,USED,37095
Kia,48168.77220551646,2024,A,NEW,49595
Jeep,11476.0,2023,A,USED,57795
Nissan,5.0,2024,A,NEW,26298
Ford,192521.0,2019,A,USED,32249
Buick,15.0,2024,A,NEW,36079
Chevrolet,48168.77220551646,2024,A,NEW,68599
Toyota,5.0,2024,A,NEW,72560
Volkswagen,16486.0,2022,A,USED,53695
Cadillac,6.0,2023,A,NEW,122298
Hyundai,70802.0,2021,A,USED,21599
Dodge,99361.0,2017,A,USED,29995
Buick,101273.0,2022,A,USED,43998
Infiniti,18133.0,2019,A,USED,62295
Cadillac,61222.0,2020,A,USED,63798
Mercedes-Benz,13.0,2024,A,NEW,61900
Dodge,47819.0,2022,A,USED,65645
Volkswagen,15.0,2024,A,NEW,54495
Ram,4790.0,2022,A,USED,54835
Chevrolet,15.0,2024,A,NEW,86699
Dodge,3049.0,2024,A,NEW,50495
Jeep,13.0,2024,A,NEW,61045
GMC,54.0,2024,A,NEW,103299
Dodge,16.0,2024,A,NEW,69970
Toyota,108589.0,2017,M,USED,20505
Porsche,59432.0,2016,A,USED,57200
GMC,15.0,2024,A,NEW,70999
Chevrolet,77164.0,2021,A,USED,37898
Volkswagen,90.0,2023,A,NEW,55495
Cadillac,15.0,2024,A,NEW,48899
Nissan,15.0,2024,A,NEW,44998
Volkswagen,15.0,2024,A,NEW,60495
Cadillac,160436.0,2018,A,USED,109085
Kia,5763.0,2023,A,USED,69995
GMC,50.0,2024,A,NEW,87299
Chevrolet,62230.0,2022,A,USED,30798
Jeep,110326.0,2012,M,USED,22595
Jeep,166781.0,2015,A,USED,30395
Chevrolet,6.0,2024,A,NEW,67499
Nissan,15.0,2024,A,NEW,28548
Jeep,23.0,2024,A,NEW,44270
Toyota,111278.0,2019,A,USED,21210
Volkswagen,7.0,2024,A,NEW,50495
Ford,79863.0,2015,A,USED,18849
Cadillac,56.0,2024,A,NEW,50899
Honda,26734.0,2023,A,USED,37000
Honda,82231.0,2012,A,USED,40720
Volkswagen,56.0,2024,A,NEW,61495
Ford,5.0,2024,A,NEW,80895
BMW,90.0,2024,A,NEW,56700
Land Rover,80016.0,2020,A,USED,47950
Audi,21.0,2024,A,NEW,99700
Ford,30.0,2024,A,NEW,48500
Subaru,10.0,2024,A,NEW,40495
Ram,164960.0,2016,A,USED,49695
GMC,15.0,2024,A,NEW,63499
Dodge,48168.77220551646,2024,A,NEW,37995
Cadillac,27625.0,2022,A,USED,37598
Jaguar,15327.0,2019,A,USED,96500
Subaru,9.0,2024,A,NEW,32195
Volkswagen,11.0,2024,A,NEW,37595
Chevrolet,113098.0,2022,A,USED,78048
Jeep,8714.0,2023,A,USED,63285
Ford,10.0,2024,A,NEW,37149
Ram,48168.77220551647,2023,A,USED,66295
Honda,45687.0,2022,A,USED,42870
Kia,33699.0,2020,A,USED,46345
GMC,95336.0,2021,A,USED,69398
Nissan,113765.0,2019,A,USED,25398
Toyota,238374.0,2015,A,USED,20525
Nissan,33530.0,2020,A,USED,27898
Toyota,8612.0,2023,A,USED,45750
Land Rover,28163.0,2021,A,USED,50800
Mitsubishi,13638.0,2023,A,USED,15498
Hyundai,9.0,2024,A,NEW,38499
Ram,9026.0,2024,A,USED,68670
BMW,83455.0,2021,A,USED,42425
Chevrolet,17.0,2024,A,NEW,63999
Ram,95379.0,2020,A,USED,76095
Honda,207277.0,2014,A,USED,19740
Jeep,91080.0,2018,A,USED,37345
Ram,45776.0,2022,A,USED,56535
Mercedes-Benz,104000.0,2017,A,USED,63800
Ram,165842.0,2016,A,USED,63695
Honda,80679.0,2020,A,USED,43690
Subaru,10.0,2024,A,NEW,33995
Hyundai,89051.0,2021,A,USED,50399
Dodge,48168.77220551646,2024,A,NEW,58770
Mitsubishi,15272.0,2023,A,USED,40998
Mitsubishi,64408.0,2021,A,USED,25698
Nissan,10.0,2023,M,NEW,58498
Nissan,20.0,2023,A,NEW,29998
Hyundai,90800.0,2020,A,USED,32399
Dodge,3.0,2024,A,NEW,37995
Chevrolet,15.0,2024,A,NEW,67499
GMC,15.0,2024,A,NEW,66699
Volkswagen,48168.77220551646,2024,A,NEW,32795
Dodge,143175.0,2019,A,USED,46245
Mazda,10.0,2024,A,NEW,36100
Kia,150065.0,2014,A,USED,26395
Mazda,10.0,2024,A,NEW,39300
Ford,33752.0,2022,A,USED,56930
Jeep,71235.0,2023,A,USED,53045
Audi,95858.0,2019,A,USED,68350
Kia,61.0,2024,A,NEW,39395
Hyundai,32.0,2024,A,NEW,54699
Subaru,7978.0,2024,A,USED,47395
Nissan,10.0,2024,A,NEW,44998
Ram,31596.0,2022,A,USED,56535
GMC,105484.0,2021,A,USED,42498
Volkswagen,2254.0,2024,A,NEW,57495
Ford,12.0,2023,A,NEW,59995
Toyota,38141.0,2021,A,USED,56490
Nissan,128398.0,2014,A,USED,35148
Ford,100.0,2024,A,NEW,67225
Subaru,78978.0,2017,M,USED,32795
Ram,36.0,2024,A,NEW,60520
Volkswagen,15.0,2024,A,NEW,59395
Toyota,49448.0,2022,A,USED,50270
Chevrolet,3.0,2024,A,NEW,67199
GMC,3.0,2024,A,NEW,34945
Nissan,95965.0,2021,A,USED,19898
Hyundai,12.0,2024,A,NEW,54699
Cadillac,5.0,2024,A,NEW,50899
BMW,48168.77220551646,2020,A,USED,53500
Cadillac,29.0,2024,A,NEW,67499
GMC,86062.0,2021,A,USED,33598
Ram,8.0,2024,A,NEW,69020
Jeep,48168.77220551646,2024,A,NEW,59045
Alfa Romeo,90.0,2023,A,NEW,46495
GMC,48168.77220551646,2024,A,NEW,66699
Ram,20.0,2024,A,NEW,70720
Kia,63650.0,2016,A,USED,22995
Hyundai,85315.0,2018,A,USED,31999
Nissan,15.0,2024,A,NEW,44998
Jeep,14.0,2024,A,NEW,43670
Honda,10.0,2024,A,NEW,49990
Jeep,93619.0,2022,A,USED,39995
Dodge,134000.0,2018,A,USED,40395
Nissan,86259.0,2017,M,USED,16138
Jeep,158058.0,2018,A,USED,52845
GMC,48168.77220551646,2024,A,NEW,66699
Ford,100.0,2024,A,NEW,71000
BMW,22358.0,2023,A,USED,64990
Toyota,27741.0,2022,A,USED,44960
Chevrolet,89892.0,2019,A,USED,54500
Hyundai,12.0,2024,A,NEW,56999
Ram,48168.77220551646,2024,A,NEW,70720
Dodge,25.0,2023,A,NEW,42695
Kia,48168.77220551646,2024,A,NEW,61495
BMW,69.0,2024,A,NEW,69900
Dodge,21.0,2023,A,NEW,68595
Nissan,118671.0,2019,A,USED,25398
Honda,10.0,2024,A,NEW,30750
Honda,218031.0,2013,A,USED,48650
Volkswagen,10.0,2024,A,NEW,59395
Cadillac,5.0,2024,A,NEW,62099
Lexus,90.0,2024,A,NEW,59850
Jeep,240368.0,2009,M,USED,28995
Jeep,96104.0,2018,A,USED,32895
Ford,96835.0,2019,A,USED,71879
Mazda,116426.0,2017,A,USED,29100
GMC,1.0,2024,A,NEW,81699
Jeep,107306.0,2020,A,USED,49890
Jeep,124599.0,2018,A,USED,36145
Nissan,48168.77220551646,2024,A,NEW,37398
GMC,15.0,2024,A,NEW,66699
Lexus,79929.0,2017,A,USED,43300
Audi,15.0,2024,A,NEW,64950
Ford,84694.0,2021,A,USED,35149
Buick,8.0,2024,A,NEW,31649
Cadillac,55467.0,2019,A,USED,58795
Ram,6148.0,2022,A,USED,56045
Honda,10.0,2024,A,NEW,31260
Volkswagen,80904.0,2022,A,USED,32995
Ram,101913.0,2019,A,USED,48070
Volkswagen,4130.0,2023,A,NEW,55495
Chevrolet,48168.77220551646,2024,A,NEW,34845
Ram,53238.0,2021,A,USED,50245
Mitsubishi,135305.0,2022,A,USED,28598
Ford,50.0,2024,A,NEW,69995
Porsche,62832.0,2021,A,USED,79200
GMC,133055.0,2019,A,USED,80400
Volkswagen,25.0,2024,A,NEW,45495
Honda,50.0,2024,A,NEW,45000
Kia,21.0,2024,A,NEW,37295
Mercedes-Benz,115732.0,2014,A,USED,36100
Chevrolet,15.0,2024,A,NEW,63799
Chrysler,142568.0,2019,A,USED,46445
Mercedes-Benz,90.0,2024,A,NEW,128900
Mitsubishi,48168.77220551646,2024,A,NEW,35798
Chevrolet,48168.77220551646,2024,A,NEW,53499
Volkswagen,57.0,2024,A,NEW,45495
Jeep,18834.0,2023,A,USED,61045
Ram,99460.0,2019,A,USED,51295
Chrysler,146247.0,2013,A,USED,37995
